lineID	SPEAKER		BADLY TRANSLATED	
7785	objMask		Please see here	
7786	objMask		I think I should go that day.	
7787	objMask		Tell me what you think	
7788	objMask		I saw a beautiful part of the forest behind the telescope ...	
7789	objMask		When the sun goes down at 7:00 ...	
7790	objMask		Hmm ... nothing to say.	
7791	objMask		I need to understand you	
				
7792	objBard		Quietly...	
7793	objBard		{wiggle}Nothing ...{/wiggle}	
7794	objBard		Need help changing your crop?	
7795	objMask		Number.	
7796	objMask		I was not in a hurry	
7797	objMask		But thank you for passing	
				
7739	objMask		I can not hear it now	
7740	objBard		Kitchen!	
7741	objBard		What are you doing here?	
7742	objMask		This? I'm under the sun	
7743	objMask		I hope you enjoy your vacation.	
7744	objMask		Summer is here ...	
7745	objMask		It is not good.	
7746	objMask		There are millions of days in our lives.	
7747	objMask		But he gave his life for us. That is why our life is our job.	
7748	objMask		daily treatment	
7749	objMask		Bone marrow.	
7750	objMask		i like to do	
7751	objMask		For those who do not like the sun	
7752	objMask		Sometimes you have to give, sometimes you have to take.	
7755	objMask		If you are lost and lonely ...	
7756	objMask		The day has come when you remember that you are not evil.	
7757	objMask		we will always remember	
7758	objMask		Although it is not visible in the clouds	
7759	objMask		I found a great place to wake up ...	
7760	objMask		The great desert is far away ...	
7761	objMask		I know ... I do not want to say.	
7762	objMask		The problem is you.	
				
7712	objMask		oh ... I know	
7713	objMask		I look forward to our meeting	
7714	objBard		but ...	
7715	objMask		There is no better place than Muhammad.	
7716	objMask		Paul has a secret ...	
7717	objMask		I think that's important.	
7718	objMask		The world wants privacy	
7719	objBard		How do you get here?	
7720	objMask		So he ...	
7721	objMask		We do not know the truth.	
7722	objMask		Some are very large.	
7723	objMask		The question is more important than the answer.	
7724	objMask		I'm not talking about that	
7725	objMask		It reminds you of a hidden truth.	
7726	objMask		transfer	
7727	objMask		Do not blame yourself and do not ask for answers.	
7728	objMask		the answer is mine	
7729	objMask		The answer has changed.	
7730	objMask		Tomorrow will be worse.	
7731	objMask		and for a while	
7732	objMask		He heard more than he could see	
7733	objMask		I need to know the problem	
7734	objMask		There are many monuments in Mahabum.	
7735	objMask		Some locations are not shown on the map.	
7736	objMask		I found a good place ...	
7737	objMask		You know ... I do not want that	
7738	objMask		you know yourself better	
				
7666	objMask		heals of the sons of God	
7667	objMask		Are you in the mountains?	
7668	objMask		I want to rest with the monks ...	
7669	objMask		But maybe...	
7670	objMask		maybe we'll get there	
7671	objMask		As mentioned above.	
7672	objMask		Are you afraid of the future?	
7673	objBard		Bongo ...	
7674	objMask		Yes me too...	
7675	objMask		it's hard to be scared	
7676	objMask		What exactly is it?	
7677	objMask		If you can not see ...	
7678	objMask		no reason to worry	
7679	objMask		But it's too bad	
7680	objMask		Can you handle the situation, what if you can not?	
7681	objMask		We see it as a real and complex relationship.	
7682	objMask		Go anywhere, go anywhere.	
7683	objMask		small question	
7684	objMask		How often do you do this?	
7685	objMask		Maybe one thought can contain many thoughts at once.	
7687	objMask		WHAT DO YOU THINK?	
7688	objMask		I think that's good.	
7689	objMask		It is enough.	
7690	objMask		We are all connected by visible and invisible cables.	
7691	objMask		In other words, everyone thinks so.	
7692	objMask		even though I do not know	
7693	objMask		not just coincidences	
7698	objMask		good things in the world.	
7699	objMask		It works by adding the necessary nutrients.	
7700	objMask		Children are children.	
7701	objMask		Can not see all ...	
7702	objMask		But who is the biggest?	
7703	objMask		The first things to understand.	
7704	objMask		he's crazy	
7705	objMask		everyone is happy	
7706	objMask		He also made jewelry.	
7707	objMask		Gift...	
7708	objMask		How?	
7710	objMask		How do you feel when you say "I love you"?	
7711	objMask		Indicates the difference between simple and standard.	
				
7634	objMask		Bongo ...	
7635	objMask		Do not be surprised if you see me here.	
7636	objMask		Today we must travel together in the world.	
7637	objMask		It has been a great journey for me.	
7638	objMask		I agree.	
7639	objMask		Either way, one day the journey will end.	
7640	objMask		Everything must be done in one day.	
7641	objMask		I would like to share your link.	
7642	objMask		He is smart	
7643	objMask		What we think ...	
7644	objMask		But I think it's important	
7645	objMask		Okay	
7646	objMask		The little things we do	
7647	objMask		You can send waves ...	
7648	objMask		Stupidity is all around us ...	
7649	objMask		BGN is different	
7650	objMask		all over the earth.	
7651	objMask		You have to run over the waves	
7652	objMask		The whole world is shaking.	
7653	objMask		there I go	
7654	objMask		This is not an error.	
7655	objMask		I thought	
7656	objMask		maybe that's why	
7657	objMask		But he could not decide what to do.	
7661	objMask		But few people know it	
7662	objMask		Nor am I.	
7663	objMask		But this is not true.	
7664	objMask		I think you understand ...	
7665	objMask		This is our big question.	
				
9432	objMiriam		{shake}Slots cuff.{/shake}	
9433	objMiriam		Are {wiggle}you{/wiggle} ready?	
9434	objBard		YOUNG!	
9435	objMiriam		YOUNG! Do {wiggle}you{/wiggle} know the name of the song?	
9436	objBard		Wallet, money:	
9437	objMiriam		{shake}missing{/shake}	
9438	objMiriam		I swear to all the provinces.	
9439	objMiriam		No translation, but no time to take {shake}pictures.{/shake}	
9440	objMiriam		There is nothing you can say, the world is empty. Transport	
9441	objBard		Transport	
9442	objBard		I met him for the first time ...	
9443	objBard		There is no peace.	
9445	objMiriam		Print	
9446	objMiriam		translated	
9447	objMiriam		No problem	
9448	objMiriam		Thanks for your help	
9449	objMiriam		only ...	
9450	objMiriam		{shake .5}Can anyone provide a search and suggestions? Transport{/shake}	
9451	objBard		What is the name of the song?	
9452	objMiriam		I do not have time to talk to you	
9453	objMiriam		Number.	
9454	objMiriam		At least!	
				
9468	objMiriam		{shake}{speed 1.5}Stop singing!	
9469	objMiriam		{shake}{speed 1.5}GAPO ,,,, My friends! Transport	
9470	objMiriam		{shake}{speed 1.5}Transport	
9471	objMiriam		{shake}{speed 1.5}Transport	
9472	objMiriam		{shake.6}{wiggle}{speed 1.5}thank you	
9473	objMiriam		{shake}{speed 1.5}Well! Is this something for you? Transport	
				
2	objAct4bench		Can you stay here for a while?	
3	objBard		You can do it	
4	objBard		14:00	
5	objBard		four hours	
6	objBard		People	
7	objBard		up to eight	
8	objBard		10:00	
9	objBard		12.00.	
10	objBard		14 hours	
				
25	objAngel		{angel}they sell	
26	objAngel		{angel}let us talk	
27	objAngel		Does it have a beautiful interior?	
28	objAngel		I was angry	
29	objBard		{}he is my son	
33	objBard		{}He said you could save the world.	
34	objBard		{}But they did not believe him	
39	objBard		{}The music world is inactive.	
41	objAngel		{angel}Bring him.	
42	objAngel		{angel}separately	
43	objAngel		Science is everything.	
44	objAngel		Everything seems spiritual	
45	objAngel		Save the earth	
46	objAngel		this part is very difficult	
47	objAngel		I really want to	
48	objAngel		Know that man cannot save the world.	
49	objAngel		I see him play all the time	
50	objBard		{}why are you worried	
51	objAngel		{angel}Because I love you	
53	objAngel		So you can not hide it.	
54	objAngel		From this I can say that I was wrong.	
55	objAngel		is sad *	
56	objAngel		I'm not talking about that	
59	objAngel		{angel}Audrey's {shake .5}eyes{/shake}	
61	objBard		{}{size .7}I do not want to see anymore.	
63	objAngel		{angel}Yes, that's enough	
64	objAngel		But what a way.	
65	objAngel		If we can meet again ...	
66	objAngel		Moz, I love rock	
68	objAngel		{angel}I hope so	
69	objAngel		Holidays	
70	objAngel		like an animal	
72	objAngel		do not leave this boy	
73	objAngel		0	
				
11	objMiles		bongo	
12	objMiles		how was your birthday	
13	objBard		Transport	
14	objMiles		I want a flood.	
15	objMiles		Is it because I'm happy?	
16	objMiles		I love learning new ideas about this game.	
17	objMiles		Good and very good.	
18	objMiles		Fun plants and fun plants go together.	
19	objMiles		Great place, friends like us.	
20	objMiles		You will be happy until you have happy children.	
21	objMiles		Buy {shake .5}Triff{/shake} today!	
22	objBard		Transport	
23	objMiles		I want a flood.	
24	objMiles		Call everything.	
				
258	objQueen		{whisper}{size 1.1}I can not believe you are here ...	
259	objQueen		Then ...	
260	objQueen		YOUNG! Do you want a deeper fight?	
261	objKing		{/whisper}they {wiggle}forgive{/wiggle} me	
262	objKing		Here it is	
263	objKing		there is no one better than me	
				
264	objQueen		{whisper}{size 1.2}We strongly believe in ...	
265	objKing		{/whisper}Try the chicken	
266	objKing		giant exploded	
267	objKing		you should know that	
268	objQueen		{whisper}Our job is ...	
				
273	objQueen		{whisper}I do not know what you mean...	
274	objQueen		We are investigating the matter	
275	objQueen		Only place ...	
276	objKing		{}I did not come because {wiggle}we{/wiggle} want to know.	
277	objKing		Now I have many questions.	
278	objKing		It is for you ...	
279	objKing		We were attacked by an {wiggle}ignorant mob.{/wiggle}	
280	objBard		{shake}It is hot!	
281	objBard		do not try	
282	objBard		{/shake}what happens Transport	
283	objVivian		{shake}Install transport	(SECRET) SKIP BRANCH--it's possible to skip meeting these characters, so the rest of this conversation doesn't go the same. Jumps instead to line 310 below.
284	objSandra		{}What happened?	
285	objSandra		You are not here ...	
287	objKing		Quietly...	
288	objKing		he is a farmer	
289	objKing		He was arrested	
290	objBard		{shake .5}Very good! Transport{/shake}	
291	objQueen		{whisper}Do you know this thief?	
292	objQueen		They work with me and my daughter.	
293	objQueen		My daughter died in {shake}{quake}your{/shake} kingdom.	
294	objKing		{}{shake .5}Stunning!{/shake}	
295	objKing		But because of this betrayal, the heroes left us ...	
296	objKing		Let's look at this beast.	
297	objQueen		{whisper}How do you {shake .5}lie ...{/shake}	
298	objQueen		How much do you love bad cows ...	
299	objQueen		If you need to catch the devil.	
300	objKing		{}{quake}{shake .5}Come with us.{/shake}	
305	objQueen		{whisper}{shake}Very good!{/shake}	
307	objQueen		Only a bad friend can do that.	
308	objKing		{}{shake .5}critical{/shake}	
309	objKing		look at the girl ...	
				
310	objQueen		{whisper}You do not know the people.	
311	objKing		but!	
312	objBard		Very good! Transport	
313	objMiriam		{shake}{name} Transport	
314	objMiriam		Wait...	
				
110	objBard		{size 2.25}East and West	
111	objBard		Our voice is getting better	
112	objBard		not far away	
113	objBard		essence	
114	objBard		we all have problems	
115	objBard		Our heart is pounding	
116	objBard		smoking	
117	objBard		the end of the war	
118	objBard		as we all say	
119	objBard		Our only right is ...	
120	objBard		Opholder	
121	objBard		you see nothing	
122	objBard		During the war...	
123	objBard		We all make mistakes.	
124	objBard		Sorry	
125	objBard		we can not	
126	objBard		But there is nothing better than this disease.	
127	objBard		day and night	
128	objBard		We work peacefully together	
129	objBard		Share your hobbies	
130	objBard		I live in the world	
131	objBard		The last	
				
74	objKing		Woman	
75	objQueen		{whisper}Woman...	
81	objQueen		Speak in your own words.	
82	objQueen		In two countries ...	
83	objQueen		This?	
84	objKing		{}great {shake}success{/shake}	
85	objKing		{}even {shake}you{/shake}	
86	objKing		Sing a beautiful song ...	
87	objKing		{size 1}war is not for me	
88	objKing		{wiggle}the voice of the people{/wiggle}	
89	objKing		{size .7}(More ...)	
90	objKing		{size .6}has {shake}changed{/shake}	
91	objKing		{shake}Tell me more ...{/shake}	
92	objKing		{size 1}And that is how it is	
93	objKing		I know the war is painful.	
94	objKing		But I do not know much about it.	
95	objKing		think it will help everyone in the long run.	
96	objKing		But I have a heart ...	
97	objKing		whatever you want	
98	objQueen		{whisper}I'm surprised by your voice ...	
99	objQueen		{whisper}We give them the answers they need.	
100	objQueen		Especially in this ...	
101	objQueen		I have not yet seen this conversation.	
102	objQueen		There is another way to solve differences between two people ...	
105	objBard		YOUNG! Transport	
106	objBard		{shake}Jokes. Transport{/shake}	
107	objBard		Where's Mary in the morning?	
108	objBard		Number of animals ...	
109	objMiriam		{/shake}{size .9}I am! Transport	
				
132	objBard		{}{size .9}{shake}Number of animals correct{/shake}	
133	objBard		You can go there! Transport	
134	objMiriam		lie...	
135	objMiriam		We're crazy here ...	
136	objMiriam		I'm glad you're back ...	
137	objMiriam		But this is not true.	
138	objMiriam		Here it is, {name}	
139	objMiriam		Nothing happens when you talk nonsense	
140	objMiriam		You will not be harmed.	
141	objMiriam		Do not admit your mistakes ...	
142	objMiriam		we do not doubt	
143	objMiriam		I want to say something	
144	objMiriam		Listen, {name}!	
145	objMiriam		I think ...	
146	objMiriam		That's how it started	
147	objBard		translated	
148	objMiriam		I can not steal it from you	
149	objMiriam		I do not know, you know.	
150	objMiriam		Something wrong.	
151	objBard		False	
152	objMiriam		In recent times, the spiritual realm has been in decline.	
153	objMiriam		Everywhere is amazing.	
154	objMiriam		{shake .5}futha!{/shake}	
155	objMiriam		The hardest part is moving forward.	
156	objMiriam		I'm not talking about that	
157	objMiriam		Ugogo waminza ...	
158	objMiriam		I want to go home and rest	
172	objBard		but ...	
173	objBard		{size .9}Gamilta! Transport	
174	objBard		weather!	
187	objMiriam		plum	
188	objMiriam		She is lovely	
189	objBard		...	
190	objBard		Exit ...	
191	objBard		It would be nice to come.	
193	objBard		But talk up.	
194	objBard		I need to rest.	
195	objBard		YOUNG!	
196	objBard		hluba ...	
197	objBard		We must save the world. Transport	
198	objBard		Nothing!	
200	objBard		Miriam refused	
201	objMiriam		{size .8}Hi!	
202	objMiriam		Nor am I.	
208	objMiriam		{shake .5}my mother!	
209	objMiriam		Please help me ...	
210	objMiriam		Here it is	
211	objMiriam		Because it is not appropriate	
212	objMiriam		Stupid book ...	
213	objMiriam		maybe you are right	
214	objMiriam		newly discovered	
215	objBard		Number of animals correct	
216	objBard		The near future.	
217	objBard		It is true	
218	objBard		I can 't do a million things.	
219	objBard		Or I can ...	
220	objBard		But only one	
221	objMiriam		plum	
222	objMiriam		You should be ashamed	
223	objVivian		I agree with "help".	
224	objMiriam		{size .8}Number.	
225	objBard		{size .9}{shake}YOUNG! Transport{/shake}	
226	objBard		Everything you need! Transport	
228	objVivian		{size 1}{quake}{shake}GAPO shipping	
229	objVivian		{}Wherever you are, we come to you.	
230	objSandra		We obviously can.	
231	objSandra		I took it with me!	
232	objSandra		Django!	
233	objVivian		We will not leave everything here ...	
234	objVivian		Tell me where you want to go.	
235	objSandra		Famous!	
236	objBard		Is it {wiggle}high?{/wiggle}	
237	objMiriam		{size .9}Transport	
238	objBard		Welcome Mary.	
239	objMiriam		Transport	
240	objBard		I thought	
241	objMiriam		Transport	
242	objMiriam		well	
252	objMiriam		Happiness and magic	
253	objMiriam		I want to go to the house of God	
254	objBard		Beautiful girl!	
255	objMiriam		Hi!	
256	sandra		Are you ready to fly?	
				
321	objBard		Director of Naruto!	
322	objBard		I want a flood. Do you think you forgot to give me the key?	
323	objBard		I just got back ...	
				
315	objAct5ghost		{spirit}{color white}{wiggle}{background black}{speed .5}Gift...	
316	objAct5ghost		Loading food ...	
317	objAct5ghost		you gave it to me	
318	objAct5ghost		wear a jacket	
319	objAct5ghost		Read the rules ...	
320	objAct5ghost		After this war ...	
				
324	objMiriam		I agree to bring	
325	objMiriam		The lion:	
326	objMiriam		This is our conservation law, remember?	
327	objMiriam		Chengdu Jong ...	
				
328	objMiriam		I agree to bring	
329	objMiriam		Do not get lost in the wrong place	
330	objMiriam		back to codes ...	
				
331	objAlice		I agree - are you crazy?	
332	objAlice		Delphi tea is an {wiggle}interesting{/wiggle} story.	
333	objAlice		do not. This is a great place to sell.	
334	objAlice		No, I work with Raven.	
336	objAlice		Advertising, PR and customer relations;	
337	objAlice		Design, bar, sound, light, cleanliness;	
338	objAlice		Some vendors have screen sizes.	
339	objAlice		{shake .5}No more than that.{/shake}	
340	objAlice		The collar is beautiful.	
341	objAlice		I do not want to go because I'm crazy.	
342	objAlice		Tell your friends about Crazy Crow!	
				
343	objAlice		{quake}{shake}I do not have time to talk now!	
344	objAlice		{quake}{shake}beverages	
345	objAlice		{quake}{shake}I'm sorry, I do not agree	
				
346	objAlice		At the top of the list.	
347	objAlice		I'm not ashamed to run away from a stupid driver.	
348	objAlice		And thank you for {wiggle}my{/wiggle} work	
349	objAlice		I think one day I will go to such a place ...	
350	objAlice		Let me think	
351	objAlice		I saw what I was doing and tried {quake}ten times. Transport	
352	objAlice		I'm scared of food	
353	objAlice		That's why I can not {wiggle}see{} your post.	
354	objAlice		But this company has real experience.	
				
355	objAmaris		sex ...	
356	objHala		ribs	
357	objAmaris		I brought it	
358	objHala		Scientist	
359	objAmaris		{wiggle}Hopefully!{/wiggle}	
360	objAmaris		How much does it cost ...	
361	objHala		Transport	
362	objAmaris		family member was seriously injured.	
363	objAmaris		Your job is very personal ...	
364	objBard		I agree	
365	objBard		I do not like ...	
366	objBard		I prayed for my sister.	
367	objBard		options	
368	objAmaris		He can be answered	
369	objBard		how many options	
370	objAmaris		The near future	
371	objAmaris		he took my life	
372	objAmaris		Ernie, do you think I love you?	
373	objHala		Yes, it's my ...	
374	objHala		Hi!	
376	objBard		do not leave	
377	objAmaris		This? Transport	
378	objHala		he wanted to end this foolish war.	
379	objHala		Mom can not stop!	
380	objHala		But he did not hear me.	
381	objHala		UNGU	
382	objHala		I thought	
383	objHala		Maybe the king counts too much ...	
384	objHala		They have put a lot of thought into your father's hatred.	
385	objHala		what I want to do ...	
386	objHala		allergies	
387	objHala		I am poor	
388	objHala		{wiggle}Sorry{/wiggle} Emrys	
389	objHala		nothing, please	
390	objHala		But now it looks like he's breaking the law ...	
391	objHala		There is only one reason for the war.	
392	objHala		This is not my legacy.	
393	objAmaris		during the operation	
394	objHala		Wildlife!	
395	objHala		Satan and Luke	
396	objHala		Then something terrible happened.	
397	objHala		And no bed.	
398	objHala		You need to understand your mother.	
399	objHala		need Emery's team.	
400	objHala		Magic music will take you to the palace.	
401	objHala		You will find ...	
402	objAmaris		I understand	
403	objAmaris		I no longer have the love to show ...	
404	objAmaris		Every royal family knows that.	
405	objHala		Sweden is not Badria.	
406	objHala		Chandra went.	
407	objHala		Darien Lt.	
408	objAmaris		So here it is! Great power	
409	objAmaris		The wisdom of the saints is forgotten.	
410	objAmaris		it's the wrong ion	
411	objHala		Thank you	
412	objAmaris		Actually	
413	objAmaris		Transport	
414	objAmaris		Joe, hard to remember.	
415	objAmaris		At the same time.	
416	objAmaris		I can only worry ...	
417	objAmaris		maybe you do not understand	
418	objAmaris		I want to help you ...	
419	objAmaris		You can talk to your mother.	
420	objAmaris		if you hurt him	
421	objAmaris		I think you're ready to answer that question.	
				
426	objAmaris		Hi, that sounds good	
427	objAmaris		he {shake}is{/shake} smarter than he is	
428	objAmaris		Matt Chandra?	
429	objAmaris		Or start a family like Badri ...	
430	objAmaris		But you use ... nonsense	
431	objAmaris		but love	
432	objAmaris		When they left, I knew ...	
433	objAmaris		I run	
434	objAmaris		But I do not know why	
435	objAmaris		Do not say anything	
436	objAmaris		How will you come to me?	
437	objAmaris		Why am I angry?	
438	objAmaris		Hope it will be clear soon ...	
439	objAmaris		I can not wait to see you again.	
440	objAmaris		But what ...	
441	objAmaris		According to me ...	
442	objAmaris		God lives	
443	objAmaris		Sorry bro.	
				
444	objAnabel		So here it is! Great place to listen to music.	
445	objAnabel		It was fun, but ...	
446	objAnabel		Only five or more new pictures ...	
448	objAnabel		Very good!	
449	objAnabel		I rarely learn to sell natural products ...	
450	objAnabel		It looks like someone is having fun.	
				
451	objAnabel		So here it is! Look at his beard.	
452	objAnabel		Not good?	
453	objAnabel		We are already in our world.	
454	objAnabel		If you do not know, {shake .7}do not rush.{/shake}	
455	objAnabel		{shake}Cylinder!{/shake}	
456	objAnabel		Sick child...	
457	objAnabel		When I was young, it was hard for me to remember the past.	
458	objAnabel		This is an endless war.	
459	objAnabel		I mean, that's not a bad thing	
460	objAnabel		Then {shake .5}everything{/shake} goes back to normal. So here it is!	
461	objAnabel		I do not like this life	
462	objAnabel		But only one!	
463	objAnabel		Never forget your old friend.	
464	objAnabel		Minix ...	
